#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名,
1,HW.AI010103.PV,B引风机#1冷却风机出口风压,32HNC20CP104,FLOAT,,,HW.AI010103.PV,,,5,0,0,S001,A001,Y,,20000,5,1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
2,HW.AI010104.PV,B引风机轴承振动1,32HNC20CY001,FLOAT,,,HW.AI010104.PV,,,20,0,0,S001,A001,Y,,20000,4.6,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
3,HW.AI010105.PV,B引风机油箱液位,32HNC20CL101,FLOAT,,,HW.AI010105.PV,,,560,0,0,S001,A001,Y,,20000,570,-5,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
4,HW.AI010106.PV,B引风机液压油压力,32HNC21CP101,FLOAT,,,HW.AI010106.PV,,,10,0,0,S001,A001,Y,,20000,4.2,3.5,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
5,HW.AI010107.PV,B送风机风机侧轴承座X向振动,32HLB20CY001,FLOAT,,,HW.AI010107.PV,,,20,0,0,S001,A001,Y,,20000,4.5,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
6,HW.RT010302.PV,B引风机油箱油温,32HNC20CT102,FLOAT,,,HW.RT010302.PV,,,600,-100,0,S001,A001,Y,,20000,45,15,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
7,HW.DI010604.PV,B送风机动叶已开,32HLB20AA1013,BOOL,,,HW.DI010604.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
8,HW.DI010605.PV,B送风机动叶已关,32HLB20AA1014,BOOL,,,HW.DI010605.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
9,HW.DI010606.PV,B送风机动叶故障,32HLB20AA1015,BOOL,,,HW.DI010606.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
10,HW.DI010607.PV,B送风机合位,32HLB20AN0013,BOOL,,,HW.DI010607.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
11,HW.DI010609.PV,B送风机保护装置故障或弹簧未储能,32HLB20AN0015,BOOL,,,HW.DI010609.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
12,HW.DI010610.PV,B送风机保护动作,32HLB20AN0017,BOOL,,,HW.DI010610.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
13,HW.DI010611.PV,B送风机开关柜就地控制,32HLB20AN0016,BOOL,,,HW.DI010611.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
14,HW.DI010612.PV,B送风机电机侧轴承振动XY向高高,32HLB20CY003HH,BOOL,,,HW.DI010612.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
15,HW.DI010616.PV,MFT跳闸B一次风机指令3,DCS送出,,BOOL,,,HW.DI010616.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,无签名,,,,,,,,,,,0,0,0
16,HW.AI020301.PV,B空预器齿轮油泵出口压力,42KYQ10CP101,FLOAT,,,HW.AI020301.PV,,,1,0,0,S001,A001,Y,,20000,0.5,0.05,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
17,HW.AI020302.PV,B引风机润滑油压力,32HNC22CP101,FLOAT,,,HW.AI020302.PV,,,1,0,0,S001,A001,Y,,20000,0.35,0.2,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
18,HW.AI020303.PV,B一次风机电机侧轴承座X向振动,32HLB10CY003,FLOAT,,,HW.AI020303.PV,,,20,0,0,S001,A001,Y,,20000,5.6,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
19,HW.AI020305.PV,B一次风机失速差压,32HLB10CP101,FLOAT,,,HW.AI020305.PV,,,5,-5,0,S001,A001,Y,,20000,1.92,-5,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
20,HW.AI020306.PV,B送风机液压油压力变送器,32HLB21CP101,FLOAT,,,HW.AI020306.PV,,,10,0,0,S001,A001,Y,,20000,10,1.7,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
21,HW.AI020307.PV,B一次风机液压油压力变送器,32HLB11CP101,FLOAT,,,HW.AI020307.PV,,,5.5,0,0,S001,A001,Y,,20000,8,1.7,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
22,HW.DI020701.PV,B引风机#2循环冷却油泵合位,32HNC21AP0023,BOOL,,,HW.DI020701.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
23,HW.DI020702.PV,B引风机#2循环冷却油泵分位,32HNC21AP0024,BOOL,,,HW.DI020702.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
24,HW.DI020703.PV,B引风机#2循环冷却油泵工作过载脱,32HNC21AP0025,BOOL,,,HW.DI020703.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
25,HW.DI020704.PV,B引风机#2循环冷却油泵就地控制,32HNC21AP0026,BOOL,,,HW.DI020704.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
