#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名
1,HW.AI010201.PV,3A高压调门阀位A,,FLOAT,,,HW.AI010201.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
2,HW.AI010202.PV,3B高压调门阀位A,,FLOAT,,,HW.AI010202.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
3,HW.AI010203.PV,3A中压调门阀位A,,FLOAT,,,HW.AI010203.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
4,HW.AI010204.PV,3B中压调门阀位A,,FLOAT,,,HW.AI010204.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
5,HW.AI010205.PV,#3机补汽阀阀位,,FLOAT,,,HW.AI010205.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
6,HW.AI010206.PV,3A高压主汽门阀位,,FLOAT,,,HW.AI010206.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
7,HW.AI010207.PV,3A中压主汽门阀位,,FLOAT,,,HW.AI010207.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
8,HW.AQ010301.PV,3A高压调门指令A,,FLOAT,,,HW.AQ010301.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
9,HW.AQ010302.PV,3B高压调门指令A,,FLOAT,,,HW.AQ010302.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
10,HW.AQ010303.PV,3A中压调门指令A,,FLOAT,,,HW.AQ010303.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
11,HW.AQ010304.PV,3B中压调门指令A,,FLOAT,,,HW.AQ010304.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
12,HW.AQ010305.PV,#3机补汽阀指令,,FLOAT,,,HW.AQ010305.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
13,HW.AI010401.PV,#3机3A高压主汽门前蒸汽压力 1,,FLOAT,,,HW.AI010401.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
14,HW.AI010402.PV,#3机3B高压主汽门前蒸汽压力 1,,FLOAT,,,HW.AI010402.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
15,HW.AI010403.PV,#3机DEH发电机功率 1,,FLOAT,,,HW.AI010403.PV,,,990,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
16,HW.AI010404.PV,#3机DEH协调控制负荷设定 1,,FLOAT,,,HW.AI010404.PV,,,700,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
17,HW.AI010405.PV,#3机DEH主蒸汽压力设定 1,,FLOAT,,,HW.AI010405.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
18,HW.AI010406.PV,3A高压调门后蒸汽压力,,FLOAT,,,HW.AI010406.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
19,HW.AI010407.PV,#3机一次调频在线试验指令,,FLOAT,,,HW.AI010407.PV,,,11,-11,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
20,HW.AQ010501.PV,机组功率,,FLOAT,,,HW.AQ010501.PV,,,990,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
21,HW.AQ010502.PV,转差,,FLOAT,,,HW.AQ010502.PV,,,15,-15,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
22,HW.AQ010503.PV,PID输出,,FLOAT,,,HW.AQ010503.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
23,HW.AQ010504.PV,高调1开度,,FLOAT,,,HW.AQ010504.PV,,,105,-5,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
24,HW.AQ010505.PV,主汽压,,FLOAT,,,HW.AQ010505.PV,,,30,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
25,HW.AQ010506.PV,再热汽压,,FLOAT,,,HW.AQ010506.PV,,,8,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
26,HW.DI010604.PV,3A高压调门SVP卡A故障信号,,BOOL,,,HW.DI010604.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
27,HW.DI010605.PV,3B高压调门SVP卡A故障信号,,BOOL,,,HW.DI010605.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
28,HW.DI010606.PV,3A中压调门SVP卡A故障信号,,BOOL,,,HW.DI010606.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
29,HW.DI010607.PV,3B中压调门SVP卡A故障信号,,BOOL,,,HW.DI010607.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
30,HW.DI010608.PV,#3机补汽阀SVP卡故障信号,,BOOL,,,HW.DI010608.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
31,HW.DI010613.PV,冗余卡冗余24V电源监视,,BOOL,,,HW.DI010613.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
32,HW.DI010614.PV,OA主机柜第一路AC220V失电报警,,BOOL,,,HW.DI010614.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
33,HW.DI010615.PV,OA主机柜第二路AC220V失电报警,,BOOL,,,HW.DI010615.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
